id,key,value,type
24577378,highway,secondary,regular
24577378,name,Prithviraj Road,regular
24577378,hi,पृथ्वीराज रोड,name
24577378,oneway,yes,regular
24577379,highway,secondary,regular
24577379,junction,roundabout,regular
24577379,name,Prithviraj Road,regular
24577379,hi,पृथ्वीराज रोड,name
24577379,oneway,yes,regular
24577381,highway,unclassified,regular
24577381,name,Mansigh Road,regular
24577382,highway,tertiary,regular
24577382,junction,roundabout,regular
24577382,name,Motilal Nehru Place,regular
24577382,hi,मोतीलाल नेहरू प्लेस,name
24577382,oneway,yes,regular
24577383,highway,tertiary,regular
24577383,name,Janpath,regular
24577383,oneway,yes,regular
24577384,highway,tertiary,regular
24577384,name,Janpath,regular
24577384,oneway,yes,regular
24577385,highway,tertiary,regular
24577385,name,Akbar Road,regular
24577385,hi,अकबर रोड,name
24577386,highway,tertiary,regular
24577386,oneway,yes,regular
24577387,foot,yes,regular
24577387,highway,tertiary,regular
24577387,name,Motilal Nehru Marg,regular
24577387,hi,मोतीलाल नेहरू मार्ग,name
24577388,highway,tertiary,regular
24577388,oneway,yes,regular
24577389,highway,tertiary,regular
24577389,oneway,yes,regular
24577390,highway,tertiary,regular
24577390,oneway,yes,regular
24577391,highway,secondary,regular
24577391,junction,roundabout,regular
24577392,highway,tertiary,regular
24577392,name,Motilal Nehru Marg,regular
24577392,hi,मोतीलाल नेहरू मार्ग,name
24577393,highway,tertiary,regular
24577393,name,Motilal Nehru Marg,regular
24577393,oneway,yes,regular
24577394,highway,tertiary,regular
24577394,name,Motilal Nehru Marg,regular
24577394,oneway,yes,regular
24577395,highway,tertiary,regular
24577395,name,Motilal Nehru Marg,regular
24577396,highway,secondary,regular
24577396,junction,roundabout,regular
24577401,highway,secondary,regular
24577401,name,Kamraj Road,regular
24577401,oneway,yes,regular
24577402,highway,unclassified,regular
24577402,oneway,yes,regular
24577403,highway,unclassified,regular
24577403,oneway,yes,regular
24577404,highway,unclassified,regular
24577405,highway,tertiary,regular
24577405,oneway,yes,regular
24577406,highway,tertiary,regular
24577406,oneway,yes,regular
24577407,highway,secondary,regular
24577407,oneway,yes,regular
24577408,highway,secondary,regular
24577408,oneway,yes,regular
24577409,highway,residential,regular
24577412,highway,residential,regular
24577413,highway,residential,regular
24577414,highway,residential,regular
24577415,highway,residential,regular
24577416,highway,residential,regular
24577417,highway,residential,regular
24577418,highway,residential,regular
24577418,name,Justice S. B. Road,regular
24577478,highway,secondary,regular
24577478,name,Sansad Marg,regular
24577478,hi,संसद मार्ग,name
24577478,oneway,yes,regular
24577480,highway,unclassified,regular
24577480,name,Radial Road 1,regular
24577480,oneway,yes,regular
24577482,highway,unclassified,regular
24577482,name,Radial Road 7,regular
24577482,oneway,yes,regular
24577483,highway,unclassified,regular
24577483,name,Radial Road 6,regular
24577483,oneway,yes,regular
24577486,highway,unclassified,regular
24577486,name,Radial Road 4,regular
24577486,oneway,yes,regular
24577487,highway,unclassified,regular
24577487,name,Radial Road 3,regular
24577487,oneway,yes,regular
24577488,highway,unclassified,regular
24577488,name,Radial Road 2,regular
24577488,oneway,yes,regular
24582917,highway,residential,regular
24582918,highway,service,regular
24582918,name,Connaught Lane,regular
24582918,oneway,no,regular
24582918,service,alley,regular
24582919,highway,residential,regular
24582920,highway,unclassified,regular
24582921,highway,residential,regular
24583320,highway,secondary,regular
24583320,junction,roundabout,regular
24583320,name,Gol Dakkhana Roundabout,regular
24583320,hi,गोल डाकखाना चौराहे,name
24583320,old_name,Alexandra Place,regular
24583321,highway,secondary,regular
24583321,name,Ashok Road,regular
24583321,oneway,yes,regular
24583322,highway,secondary,regular
24583322,name,Ashok Road,regular
24583322,oneway,yes,regular
24583323,highway,secondary,regular
24583323,name,Ashok Road,regular
24583323,hi,अशोक रोड,name
24583324,highway,secondary,regular
24583324,junction,roundabout,regular
24583324,name,Patel Chowk,regular
24583324,hi,पटेल चौक,name
24583327,highway,secondary,regular
24583327,name,Sansad Marg,regular
24583327,hi,संसद मार्ग,name
24583327,oneway,yes,regular
24583330,highway,secondary,regular
24583330,name,Baba Kharak Singh Marg,regular
24583330,hi,बाबा खड़क सिंह मार्ग,name
24583330,old_name,Irwin Road,regular
24583330,oneway,yes,regular
24583332,highway,secondary,regular
24583332,name,Baba Kharak Singh Marg,regular
24583332,hi,बाबा खड़क सिंह मार्ग,name
24583332,old_name,Irwin Road,regular
24583332,oneway,yes,regular
24583333,highway,secondary,regular
24583333,junction,roundabout,regular
24583333,name,Mandi House Chowk,regular
24583333,oneway,yes,regular
24583334,highway,secondary,regular
24583334,name,Ashok Road,regular
24583334,hi,अशोक रोड,name
24583334,oneway,yes,regular
24583335,highway,secondary,regular
24583335,name,Ashok Road,regular
24583335,hi,अशोक रोड,name
24583335,oneway,yes,regular
24583337,highway,secondary,regular
24583337,junction,roundabout,regular
24583337,name,Ashok Road,regular
24583337,hi,अशोक रोड,name
24583339,highway,secondary,regular
24583339,name,Ashok Road,regular
24583339,hi,अशोक रोड,name
24583339,oneway,yes,regular
24583487,highway,tertiary,regular
24583487,name,Jay Singh Marg,regular
24583487,hi,जे सिंग मार्ग,name
24583488,highway,unclassified,regular
24583488,name,Hanuman Road,regular
24583488,hi,हनुमान रोड,name
24583489,highway,unclassified,regular
24583489,name,Bangla Sahib Lane,regular
24583489,hi,बांग्ला साहिब लेन,name
24583491,highway,unclassified,regular
24583491,name,Janpath Lane,regular
24583492,highway,service,regular
24583493,highway,unclassified,regular
24583493,name,Jantar Mantar Road,regular
24583493,oneway,yes,regular
24583494,highway,unclassified,regular
24583494,name,Jantar Mantar Road,regular
24583494,oneway,yes,regular
24583495,highway,unclassified,regular
24583495,name,Jantar Mantar Road,regular
24583584,highway,unclassified,regular
24583584,name,HC Mathur Lane,regular
24583586,highway,residential,regular
24583586,name,Hailey Road;Atul Grove Road,regular
24583587,highway,unclassified,regular
24583587,name,Atul Grove Lane,regular
24583588,highway,residential,regular
24583589,highway,residential,regular
24583590,highway,residential,regular
24583592,highway,residential,regular
24583592,name,Hailey Lane,regular
24583593,highway,residential,regular
24583594,highway,unclassified,regular
24583594,name,Vakil Lane,regular
24583596,highway,residential,regular
24583597,highway,residential,regular
24583768,highway,residential,regular
24583769,highway,residential,regular
24583770,highway,residential,regular
24583771,highway,secondary,regular
24583771,junction,roundabout,regular
24583773,highway,secondary,regular
24583773,oneway,yes,regular
24583775,highway,secondary,regular
24583775,oneway,yes,regular
24583776,highway,secondary,regular
24583776,name,Baba Kharak Singh Marg,regular
24583776,hi,बाबा खड़क सिंह मार्ग,name
24583776,old_name,Irwin Road,regular
24583777,highway,secondary,regular
24583777,oneway,yes,regular
24584373,highway,unclassified,regular
24584373,name,Bangla Sahib Road,regular
24584374,highway,residential,regular
24584375,highway,tertiary,regular
24584375,oneway,yes,regular
24584376,highway,tertiary,regular
24584376,oneway,yes,regular
24584377,highway,tertiary,regular
24584377,name,Pandit Pant Marg,regular
24584377,hi,पंडित पंत मार्ग,name
24584378,highway,unclassified,regular
24584378,name,Talkatora Road,regular
24584378,oneway,yes,regular
24584379,highway,unclassified,regular
24584379,name,Talkatora Road,regular
24584379,oneway,yes,regular
24584380,highway,unclassified,regular
24584380,name,Talkatora Road,regular
24584380,oneway,no,regular
24584381,highway,unclassified,regular
24584382,highway,unclassified,regular
24584383,highway,unclassified,regular
24584384,highway,unclassified,regular
24584385,highway,residential,regular
24584386,highway,unclassified,regular
24584387,highway,service,regular
24584388,access,no,regular
24584388,highway,service,regular
24584388,name,Red Cross Road,regular
24584388,hi,रेड क्रॉस रोड,name
24584389,highway,tertiary,regular
24584389,junction,roundabout,regular
24584390,highway,unclassified,regular
24584390,name,Gurudwara Rakabganj Road,regular
24584390,hi,गुरुद्वारा रकबागंज रोड,name
24584391,highway,unclassified,regular
24584392,highway,unclassified,regular
24584393,highway,unclassified,regular
24584394,highway,unclassified,regular
24584395,highway,tertiary,regular
24584395,name,North Avenue,regular
24584395,hi,नॉर्थ आवन्यू,name
24584396,highway,tertiary,regular
24584396,name,North Avenue,regular
24584396,oneway,yes,regular
24584397,highway,tertiary,regular
24584397,name,North Avenue,regular
24584397,oneway,yes,regular
24584398,highway,tertiary,regular
24584398,junction,roundabout,regular
24584399,highway,service,regular
24584399,oneway,yes,regular
24584400,highway,service,regular
24584401,highway,unclassified,regular
24584401,name,Brassey Road,regular
24584403,access,no,regular
24584403,highway,service,regular
24584403,name,Rajya Sabha Marg,regular
24584403,hi,राज्य सभा मार्ग,name
24584404,highway,service,regular
24584404,oneway,-1,regular
24584406,highway,tertiary,regular
24584406,name,Pandit Pant Marg,regular
24584406,hi,पंडित पंत मार्ग,name
24584407,access,no,regular
24584407,highway,service,regular
24584407,name,Lok Sabha Marg,regular
24584407,hi,लोक सभा मार्ग,name
24584408,highway,unclassified,regular
24584408,name,Gurudwara Rakabganj Road,regular
24584408,hi,गुरुद्वारा रकबागंज रोड,name
24584409,highway,unclassified,regular
24584410,highway,unclassified,regular
24584411,highway,unclassified,regular
24584411,junction,roundabout,regular
24584412,highway,unclassified,regular
24584413,highway,unclassified,regular
24584414,highway,residential,regular
24584415,highway,residential,regular
24584415,oneway,yes,regular
24584416,highway,service,regular
24584417,highway,unclassified,regular
24584418,highway,service,regular
24584419,highway,residential,regular
24584419,oneway,yes,regular
24584420,highway,service,regular
24584421,highway,unclassified,regular
24584422,highway,unclassified,regular
24584423,highway,tertiary,regular
24584423,name,Church Road,regular
24584423,hi,चर्च रोड,name
24584424,highway,residential,regular
24584426,highway,unclassified,regular
24584500,highway,tertiary,regular
24584500,junction,roundabout,regular
24584501,highway,tertiary,regular
24584501,name,Church Road,regular
24584501,oneway,yes,regular
24584502,highway,tertiary,regular
24584502,name,Church Road,regular
24584502,oneway,yes,regular
24584503,highway,tertiary,regular
24584504,highway,unclassified,regular
24584505,highway,unclassified,regular
24584505,oneway,yes,regular
24584506,highway,unclassified,regular
24584506,oneway,yes,regular
24584507,highway,unclassified,regular
24584508,highway,unclassified,regular
24584508,junction,roundabout,regular
24584509,highway,unclassified,regular
24584510,highway,unclassified,regular
24584511,highway,unclassified,regular
24584512,highway,unclassified,regular
24617971,highway,secondary,regular
24617971,junction,roundabout,regular
24617971,oneway,yes,regular
24617972,highway,residential,regular
24617972,name,Pandit Uma Shankar Dikshit Marg,regular
24617983,highway,secondary,regular
24617983,junction,roundabout,regular
24617983,name,Teen Murti,regular
24617983,hi,टीन मूर्ति,name
24617989,highway,secondary,regular
24617989,name,South Avenue,regular
24617989,hi,साउत आवन्यू,name
24617991,highway,unclassified,regular
24617991,name,Kushak Road,regular
24617994,highway,tertiary,regular
24617994,name,Teen Murti Marg,regular
24617994,hi,टीन मूर्ति मार्ग,name
24618002,highway,secondary,regular
24618002,junction,roundabout,regular
24618015,amenity,parking,regular
24618015,created_by,Potlatch 0.9c,regular
24676122,highway,tertiary,regular
24676122,oneway,yes,regular
24676133,highway,residential,regular
24676525,leisure,park,regular
24676531,highway,residential,regular
24676533,highway,residential,regular
24676535,highway,residential,regular
24676551,highway,residential,regular
24676573,highway,tertiary,regular
24676573,name,Govind Lal Sikka Marg,regular
24690209,colour,ff0000,regular
24690209,electrified,contact_line,regular
24690209,frequency,50,regular
24690209,gauge,1676,regular
24690209,name,Delhi Metro Red Line,regular
24690209,railway,subway,regular
24690209,voltage,25000,regular
24943999,name,यमुना,regular
24943999,bn,যমুনা,name
24943999,en,Yamuna,name
24943999,gu,યમુના,name
24943999,hi,यमुना,name
24943999,kn,ಯಮುನಾ,name
24943999,mr,यमुना,name
24943999,ta,யமுனை,name
24943999,waterway,river,regular
24944222,name,Yamuna,regular
24944222,bn,যমুনা,name
24944222,en,Yamuna,name
24944222,gu,યમુના,name
24944222,hi,यमुना,name
